"method","n","replication","full_mae1","full_rmse1","bound_mae1","bound_rmse1","inter_mae1","inter_rmse1","full_mae2","full_rmse2","bound_mae2","bound_rmse2","inter_mae2","inter_rmse2","runtime"
"Random",50,5,10.3840697902307,3.31003863921368,14.5017639663006,4.46506350112529,8.50256619295518,2.61780687559378,0.786592482901713,1.42081245450102,1.10715819532722,2.04054330471861,0.640115956160854,1.01908806463975,0
"Random",50,6,7.33627094695247,2.29348262914318,8.2912452871391,2.5075018352238,6.90022525136601,2.18881246493613,1.22590882261579,2.11059134633663,1.79215383461541,3.09517924662144,0.967358734158459,1.45404647944045,0
"Random",50,7,4.78550459104263,1.49614396882684,6.69111824086474,2.05679613831421,3.91725883799728,1.15362810804935,1.75422759832531,4.0238732533242,2.96745554682688,6.3156846413068,1.20145027441144,2.3226956541144,0
"Random",50,8,6.37206860410437,1.91930667737664,8.76878527808417,2.65434106898278,5.27849944904855,1.46622915977247,1.70044772111668,3.21947534835966,2.61420010241637,4.79765352076331,1.28352258749675,2.14289128149745,0.000999999999999446
"Random",50,9,4.23333046161711,1.25639862802358,5.67742606263645,1.67973455415532,3.57536399884876,1.00608581013831,1.31266094240838,1.99585696597543,1.90464720850893,2.73917833231859,1.04293703407525,1.54266074902901,0
"Random",50,10,5.58830248163289,1.80028607941516,8.29516287600643,2.64117430275805,4.35587130946908,1.2412057294375,1.02778370226438,1.66950517797823,1.42274848553599,2.31700851558975,0.847956581581448,1.26964270216364,0
"Random",50,11,9.04431393485989,2.81265833567903,13.9104947815403,4.07587699466216,6.82080330572397,1.98367216489752,2.67143298218204,3.94879150216752,3.43125898710573,5.04331800498449,2.32424465287976,3.33103425430067,0
"Random",50,12,9.52602618189307,2.9295467049625,13.4016718362734,3.94010941289419,7.75512214466276,2.32596789677381,1.62898273728599,2.57825655113106,2.42478672507767,3.62427963694162,1.26535493936503,1.91907216953982,0
"Random",50,13,9.02759487867501,2.58425403969422,12.1865204447983,3.35052202418861,7.58933882885145,2.14658740345996,1.74269830925995,3.39258473078284,2.40388632808539,4.66037786159553,1.44165998206898,2.61940050027648,0
"Random",50,14,6.05659845871239,2.04976697281655,9.52731001477105,3.11240753472662,4.47412203974282,1.30399609879677,1.83654756185428,2.94764134841333,2.61153456179136,4.2446762525757,1.48319101447207,2.1059819448544,0
"Random",50,15,5.83179989538151,1.82090384276607,8.91856804484217,2.6476964192735,4.4213587288379,1.27573887619172,2.13355788489829,4.06594041073178,3.08858384079987,6.01734445882782,1.69717657664986,2.7460940960881,0
"Random",50,16,6.94606013754814,2.30039548709098,9.89701566784981,3.11157608794481,5.60249266329922,1.81466716406006,1.53392149707105,2.58675984185323,2.08788569384326,3.57155026612333,1.28170208236319,1.98244772709086,0
"Random",50,17,5.82137053689804,1.5848624933569,6.8510910712136,1.9231285907802,5.35253967744717,1.40410665298781,2.14980645033398,3.50190836301043,3.02719675452156,4.80876493144985,1.75033141154634,2.70525840429939,0
"Random",50,18,7.56770946046915,2.22462560725817,9.73302876781621,2.91941767871549,6.58184147200193,1.82255358780032,1.89479031174007,3.57101752598987,3.03929898643747,5.43573260199013,1.37369651228117,2.25951476859046,0
"Random",50,19,7.91515948702012,2.8798342058201,12.0974713833986,4.14010480255979,6.01095653531924,2.06528529219066,1.45290761396728,2.37481514300011,2.13653970344562,3.2898654876005,1.14165052102083,1.81099931789425,0
"Random",50,20,7.92082035742854,2.19329774512582,10.1148441337535,2.71044118640499,6.92259851833443,1.91226883444592,1.67334510670837,2.48280414683046,2.15343958027086,3.19748695822405,1.45491502700286,2.07781246536311,0
"Random",50,21,10.6688220654538,3.39228610593181,16.0337670755086,4.86925352031627,8.2121469093345,2.433134983387,2.02887764651019,3.62093721737004,3.06553989449794,5.34636953355844,1.55417708850907,2.45482068444916,0.00100000000000122
"Random",50,22,6.85378685237456,1.97430119676113,8.81045077878608,2.59960582310726,5.96100409671371,1.61023947739706,1.72992120557974,2.60501724677375,2.20146053758376,3.18449645257049,1.51476816956445,2.29245423634598,0
"Random",50,23,5.57343957337825,1.89026737456783,8.71280226349618,2.80410313812677,4.14306656822143,1.27221511629169,1.60122685126534,2.57825952397187,2.32412728053791,3.55599997013847,1.27185514066221,1.97856317236679,0
"Random",50,24,6.45828086064848,2.33100120046387,9.7350102633222,3.43926047534656,4.9663888269866,1.58806588703548,1.77507316197016,2.97327287332042,2.56577535516144,4.17033771240316,1.4150671443666,2.22416783128621,0
"Random",50,25,7.14155230763943,2.30423171994521,9.80934675126035,3.04738220332101,5.9277775506963,1.87083696340339,2.37615333348006,4.64359488880164,3.42946810878522,6.29887644367398,1.89692342562952,3.64994576795552,0
"Random",50,26,6.81054246034065,2.08889869019935,10.1543721473644,3.0265856924911,5.28700912243851,1.47580126670963,1.30289693886972,2.16502297209744,1.6940496677071,2.99505498450014,1.12467786721432,1.65404588086357,0
"Random",50,27,7.21543729591323,2.28049595026496,9.84417204650206,3.03927977856559,6.01600339065576,1.83272153946958,1.68008212928616,2.61909247949561,2.29348017543197,3.54974480819527,1.40020207908286,2.05915850308899,0
"Random",50,28,5.05263362524828,1.50027009957591,6.88078475049233,1.99337588635364,4.22027801545756,1.21097055994055,1.28695907014691,1.99839012242578,1.74408815311663,2.66828848023699,1.07882859813381,1.60318645263811,0
"Random",50,29,5.68636186198738,1.89830863281846,8.11506344025347,2.65447125580778,4.58136793155312,1.42732831105725,1.72704373145891,2.76739047147745,2.56047325606351,3.8706610077179,1.3478557017833,2.08000578889811,0
"Random",50,30,5.45025013032352,1.53332031505096,7.5719575361206,2.06484138360332,4.48077548124127,1.21539727436741,2.1388055293799,3.65819857816211,3.11856259580084,5.25538057224131,1.69112380118352,2.62245383859706,0
"Random",60,1,6.25030109750916,1.85892893282686,8.1018838110197,2.36058171231505,5.40538394640801,1.57788071240495,1.23861146379756,1.88421416926244,1.72487801678563,2.55590062775411,1.01671754157171,1.47964371775034,0
"Random",60,2,8.17115747531113,3.18609962588733,11.6306810004198,4.04978361324932,6.5902383896964,2.70099093418443,1.40549485743017,2.8691177557351,2.22151278023801,4.28631873935006,1.03259428340384,1.89678264300825,0
"Random",60,3,6.52717034692756,1.95612052726254,9.50566184358829,2.72315990913135,5.16607133452407,1.47859152067695,2.16100348341782,3.87972402357585,3.46562481614042,5.83711980784016,1.56482289686248,2.52204453603676,0
"Random",60,4,9.82930092810794,3.42448174445791,13.2688829929258,4.32147195935522,8.2619941735445,2.92593148622934,2.44432588986064,3.96734903338587,3.62337942274876,5.67348472447658,1.90706917341554,2.87137154868473,0
"Random",60,5,11.8990267522318,3.79604354259388,15.4059844964627,4.94209544172909,10.2975790671417,3.13638355030226,0.816784171643384,1.33804640102676,1.13838103778641,1.8206753473644,0.669927381690827,1.04604567208722,0
"Random",60,6,7.89993181009209,2.62056319942373,10.7112558244732,3.47775261433584,6.61614436147647,2.11666263494691,1.39101000021847,2.3128109094111,1.93138137952545,3.17560939026224,1.1442501138458,1.78512737464122,0
