"method","n","replication","full_mae","full_rmse","bound_mae","bound_rmse","inter_mae","inter_rmse","runtime"
"Random",50,20,0.844702850477282,2.12648857468341,0.84549459313188,2.12925835996739,0.65221243733001,1.28691356311,0
"Random",50,21,1.59981915927004,4.07473815345535,1.60413088660876,4.08225830783625,0.506750409464443,1.02599889054258,0
"Random",50,22,1.02088488421935,2.84547168058735,1.0224551128617,2.84998650817026,0.639127051233491,1.35832823008359,0
"Random",50,23,1.26202336986898,3.24548737870371,1.26375433108726,3.25037840384032,0.84118783939227,1.67595863246905,0
"Random",50,24,1.21806441365492,2.89387510073312,1.2213397869703,2.89929880566975,0.421747631896883,0.857608580494652,0
"Random",50,25,1.3116911799668,3.6096346169891,1.31472217089914,3.61608958308012,0.559373972303328,1.20522921524688,0
"Random",50,26,1.07183649649232,2.66684564925681,1.07437071740443,2.6717302582573,0.455710502085205,0.878747200361164,0
"Random",50,27,1.7070970810552,5.27678860827411,1.70703671036313,5.28380569797697,1.7217745515576,3.13496364435923,0
"Random",50,28,1.14019626887575,2.83096114656208,1.1430891699945,2.83608664390315,0.43686706422974,0.975960952003505,0
"Random",50,29,0.94805650837288,2.44414803221069,0.948975426952625,2.44745698854432,0.72464677285258,1.42781424883128,0
"Random",50,30,1.0548795876886,2.71841212562413,1.05694609904894,2.72299905536567,0.552464284918099,1.14960042415911,0
"Random",60,1,0.96881571135426,2.31926185756494,0.970230460257253,2.32257760930606,0.625147217633408,1.28069257626511,0
"Random",60,2,1.24208261086074,3.40084867256085,1.24495144205219,3.40693382317673,0.530612475381473,1.13667453374841,0
"Random",60,3,1.27278471806288,3.20055444827256,1.27570777539274,3.20626813430144,0.562720403831233,1.16238543817252,0
"Random",60,4,1.03886690465566,2.57867272248704,1.04136186526927,2.58329292164556,0.432795145803113,0.925266300065118,0
"Random",60,5,1.19919860572827,3.15464747001962,1.20219329685279,3.16052399481445,0.47173312705109,0.967880963011426,0
"Random",60,6,1.48104311401422,4.13319284718008,1.48119330391315,4.13801619810479,1.44455922897387,2.71883587209503,0
"Random",60,7,1.39937068852642,5.33163886558965,1.40296318288102,5.34193001803075,0.508432088584279,1.08868201235662,0
"Random",60,8,1.26091395369532,3.18855355283812,1.26381773507226,3.19426639210715,0.555532122478116,1.14415579280795,0
"Random",60,9,1.70551147264446,4.25042960782529,1.71019888517408,4.25831182547994,0.543033165299769,1.19722569671123,0
"Random",60,10,1.12801095185367,2.84164212015936,1.1299108161961,2.84618638211631,0.666499007611137,1.34023248187068,0
"Random",60,11,1.51751108024542,4.14085398824424,1.52122538023715,4.14845122602756,0.615239390418647,1.35966455495649,0
"Random",60,12,1.100112833048,2.90156261398213,1.10185153268936,2.90616951661908,0.677750754862993,1.38550540112867,0
"Random",60,13,1.38820458123562,3.46529766583243,1.39190541414139,3.47187244173853,0.489204293942054,0.963690229278834,0
"Random",60,14,1.13129278567656,2.97561846427944,1.13393480737409,2.98098763456552,0.489497188415932,1.04176875192442,0
"Random",60,15,1.92123182677123,5.62589843613956,1.92655474506975,5.63681765265216,0.628197204173208,1.3329005121944,0
